dataset,method,status,seed,n_samples,n_features,n_clusters,ACC,NMI,ARI,AMI,RI,FMI,elapsed_seconds,error_type,error
flickr_material_database,AHDPC,completed,42,997,1536,10,0.10832497492477432,0.021473934490553005,1.1914257221904334e-05,0.0009663448643967401,0.12618578627448612,0.30945493490918907,1.9833442959934473,,
flickr_material_database,HDPC,completed,42,997,1536,10,0.11033099297893681,0.02891613045936765,8.266482942826562e-05,0.005375650490338723,0.13099338175168074,0.3086052512840349,0.9597324379719794,,
flickr_material_database,V9,completed,42,997,1536,10,0.44433299899699097,0.38027798050306577,0.23103875196376103,0.36865256518748984,0.8532746834882157,0.3135013208615656,7.705829858779907,,
fraud_detection_bank,AHDPC,completed,42,9999,112,2,0.6846684668466847,0.007067854421877239,0.04343020410338977,0.0069714669146583525,0.5681616971459098,0.6778975786337774,25.64682296104729,,
fraud_detection_bank,HDPC,completed,42,9999,112,2,0.6721672167216721,0.02327105477542612,-0.05040695339067958,0.023154386255890676,0.559239020521376,0.712156603238935,18.067256608977914,,
fraud_detection_bank,V9,completed,42,9999,112,2,0.5648564856485648,0.06811290475804287,0.004868947770736652,0.06803799913095716,0.508363558900399,0.5690899600098147,79.51814985275269,,
gas-drift,AHDPC,completed,42,10000,128,6,0.237,0.048521574183477495,0.006239917775022963,0.04734844793388785,0.21747834783478348,0.4129778909621821,29.73477883078158,,
gas-drift,HDPC,completed,42,10000,128,6,0.2371,0.04787897510269367,0.006236594242606703,0.04676295686717743,0.21745072507250726,0.41298311215766886,19.912778927013278,,
gas-drift,V9,completed,42,10000,128,6,0.462,0.32742693921610166,0.14245388029101014,0.326862317919633,0.6469606360636063,0.36878352652538743,79.51325154304504,,
gina_prior2,AHDPC,completed,42,3468,784,10,0.12370242214532871,0.029908269326871254,0.00046399589811617315,0.021899381810543364,0.12750021707388395,0.31178760068403477,13.330066699068993,,
gina_prior2,HDPC,completed,42,3468,784,10,0.12110726643598616,0.023712443946972982,0.00027097747108692516,0.01708371950384185,0.12006747421478305,0.31297765759059193,6.738074210006744,,
gina_prior2,V9,completed,42,3468,784,10,0.5049019607843137,0.4759337301235667,0.34546864761388035,0.47321932152974494,0.8778667475745112,0.41382089459499605,24.20794439315796,,
glass_identification,AHDPC,completed,42,214,9,6,0.411214953271028,0.1850769567080834,0.09932904345192309,0.1534086640768154,0.5994910271598438,0.38604242904274366,0.005747749004513025,,
