contrast,treatment,reference,dataset,metric,delta
adaptive_mix_at_adaptive_weight,gate_coupled,adaptive_weight_only,Blood_BoneMarrow,ari,0.013838927109012356
adaptive_mix_at_adaptive_weight,gate_coupled,adaptive_weight_only,Human_Pancreas_1,ari,0.003085082051305199
adaptive_mix_at_adaptive_weight,gate_coupled,adaptive_weight_only,Human_Pancreas_3,ari,0.12214842933766823
adaptive_mix_at_adaptive_weight,gate_coupled,adaptive_weight_only,Mouse_Pancreas_1,ari,-0.06116134461589884
adaptive_mix_at_adaptive_weight,gate_coupled,adaptive_weight_only,PRJNA895163,ari,-0.025821417254134754
adaptive_mix_at_adaptive_weight,gate_coupled,adaptive_weight_only,TabulaSapiens_Pancreas,ari,0.04775538611572816
adaptive_mix_at_adaptive_weight,gate_coupled,adaptive_weight_only,Blood_BoneMarrow,f1_macro,0.009049811872333002
adaptive_mix_at_adaptive_weight,gate_coupled,adaptive_weight_only,Human_Pancreas_1,f1_macro,0.0007656026187186082
adaptive_mix_at_adaptive_weight,gate_coupled,adaptive_weight_only,Human_Pancreas_3,f1_macro,0.03880304425284409
adaptive_mix_at_adaptive_weight,gate_coupled,adaptive_weight_only,Mouse_Pancreas_1,f1_macro,-0.11681324676418692
adaptive_mix_at_adaptive_weight,gate_coupled,adaptive_weight_only,PRJNA895163,f1_macro,-0.01953457416081844
adaptive_mix_at_adaptive_weight,gate_coupled,adaptive_weight_only,TabulaSapiens_Pancreas,f1_macro,0.057941605119258166
adaptive_weight_at_adaptive_mix,gate_coupled,adaptive_mix_only,Blood_BoneMarrow,acc,-0.0015928365405313283
adaptive_weight_at_adaptive_mix,gate_coupled,adaptive_mix_only,Human_Pancreas_1,acc,0.0
adaptive_weight_at_adaptive_mix,gate_coupled,adaptive_mix_only,Human_Pancreas_3,acc,0.041072958031612594
adaptive_weight_at_adaptive_mix,gate_coupled,adaptive_mix_only,Mouse_Pancreas_1,acc,-0.03252904378909727
adaptive_weight_at_adaptive_mix,gate_coupled,adaptive_mix_only,PRJNA895163,acc,-0.023878523223501424
adaptive_weight_at_adaptive_mix,gate_coupled,adaptive_mix_only,TabulaSapiens_Pancreas,acc,-0.015986587324076762
adaptive_weight_at_adaptive_mix,gate_coupled,adaptive_mix_only,Blood_BoneMarrow,nmi,0.0006804446040897805
adaptive_weight_at_adaptive_mix,gate_coupled,adaptive_mix_only,Human_Pancreas_1,nmi,0.00026827094260606366
