dataset_id,variant,metric,full_minus_variant_mean,full_mean,variant_mean,full_n,variant_n,weights_frozen,training_enabled
sms_spam_collection,T_shuffled_gate,NMI,0.19146382456431843,0.6732284068111041,0.48176458224678564,5,5,True,False
sms_spam_collection,T_shuffled_gate,ACC,0.028023952095808324,0.9674251497005988,0.9394011976047905,5,5,True,False
sms_spam_collection,T_fixed_mean_gate,ARI,0.14015731164188505,0.8148423009775432,0.6746849893356581,5,5,True,False
sms_spam_collection,T_fixed_mean_gate,NMI,0.19313096581223188,0.6732284068111041,0.4800974409988722,5,5,True,False
sms_spam_collection,T_fixed_mean_gate,ACC,0.028263473053892096,0.9674251497005988,0.9391616766467067,5,5,True,False
sms_spam_collection,T_random_neighbor,ARI,0.14149571290690288,0.8148423009775432,0.6733465880706403,5,5,True,False
sms_spam_collection,T_random_neighbor,NMI,0.19449847602759773,0.6732284068111041,0.47872993078350634,5,5,True,False
sms_spam_collection,T_random_neighbor,ACC,0.02850299401197609,0.9674251497005988,0.9389221556886227,5,5,True,False
sms_spam_collection,T_no_vicinal,ARI,0.12635379426989202,0.8148423009775432,0.6884885067076512,5,5,True,False
sms_spam_collection,T_no_vicinal,NMI,0.17502253294611037,0.6732284068111041,0.4982058738649937,5,5,True,False
sms_spam_collection,T_no_vicinal,ACC,0.027305389221556897,0.9674251497005988,0.9401197604790419,5,5,True,False
spambase,F_matched_total_mix,ARI,-0.008700477537228801,0.6118021277538854,0.6205026052911142,5,5,True,False
spambase,F_matched_total_mix,NMI,-0.023428785468632918,0.4995528202799321,0.522981605748565,5,5,True,False
spambase,F_matched_total_mix,ACC,-0.0026515974788091645,0.8911540969354487,0.8938056944142578,5,5,True,False
spambase,T_shuffled_gate,ARI,-0.009260883384602736,0.6118021277538854,0.6210630111384882,5,5,True,False
spambase,T_shuffled_gate,NMI,-0.023850427971210175,0.4995528202799321,0.5234032482511423,5,5,True,False
spambase,T_shuffled_gate,ACC,-0.0028254727233211208,0.8911540969354487,0.8939795696587698,5,5,True,False
spambase,T_fixed_mean_gate,ARI,-0.008697109681807591,0.6118021277538854,0.620499237435693,5,5,True,False
spambase,T_fixed_mean_gate,NMI,-0.023115238552426698,0.4995528202799321,0.5226680588323588,5,5,True,False
spambase,T_fixed_mean_gate,ACC,-0.0026515974788091645,0.8911540969354487,0.8938056944142578,5,5,True,False
spambase,T_random_neighbor,ARI,0.007598078846579259,0.6118021277538854,0.6042040489073062,5,5,True,False
spambase,T_random_neighbor,NMI,-0.01084698976227716,0.4995528202799321,0.5103998100422092,5,5,True,False
spambase,T_random_neighbor,ACC,0.0025646598565527423,0.8911540969354487,0.8885894370788959,5,5,True,False
spambase,T_no_vicinal,ARI,0.2551807146559436,0.6118021277538854,0.3566214130979418,5,5,True,False
spambase,T_no_vicinal,NMI,0.20188964858224367,0.4995528202799321,0.2976631716976884,5,5,True,False
spambase,T_no_vicinal,ACC,0.09315366224733734,0.8911540969354487,0.7980004346881113,5,5,True,False
