dataset,role_class,arm,seed,status,ARI,NMI,L_rec,effective_changed_coordinate_rate_mean,epochs_audited,requested_change_ratio_mean,support_change_ratio_mean,total_absolute_change_mean,value_change_ratio_mean
Baron Human,registered_scrna_count,C4_StaticHard,42,completed_valid,0.17734300323468558,0.3257073971492063,0.8331409189746501,0.07884791740622411,30,0.07884791740622411,0.0807099073581036,5574487.459460839,0.04548053361535124
Baron Human,registered_scrna_count,C4_StaticHard,123,completed_valid,0.161058211605335,0.3143486130855459,0.8317693255805586,0.07884791740622411,30,0.07884791740622411,0.0772980515126415,5492260.542161119,0.04526744862540921
Baron Human,registered_scrna_count,C4_StaticHard,7,completed_valid,0.15267027883168405,0.2939034002783413,0.8303732364548125,0.07884791740622411,30,0.07884791740622411,0.08129985849800812,5633892.163211697,0.045928274020825936
cnae9,generic_sparse_high_dimensional,C_clean_no_corruption,42,completed_valid,0.04734719304702463,0.09884742210167555,0.8787770125601027,0.0,30,0.0,0.0,0.0,0.0
cnae9,generic_sparse_high_dimensional,C_clean_no_corruption,123,completed_valid,0.03856947670967859,0.0889646018911535,0.8799968904919094,0.0,30,0.0,0.0,0.0,0.0
cnae9,generic_sparse_high_dimensional,C_clean_no_corruption,7,completed_valid,0.029897411562462745,0.08918839247581048,0.880413998497857,0.0,30,0.0,0.0,0.0,0.0
cnae9,generic_sparse_high_dimensional,C0_MatchedRandom,42,completed_valid,0.05261771040319323,0.10859054795866592,0.9617715932704785,0.31196469907407415,30,0.31196469907407415,0.1029636863425926,6220.764120072465,0.2145136477623457
cnae9,generic_sparse_high_dimensional,C0_MatchedRandom,123,completed_valid,0.0399686948254364,0.09445170148971177,0.9603376158961543,0.31196469907407415,30,0.31196469907407415,0.10397786458333334,6239.450928101472,0.21437065972222225
cnae9,generic_sparse_high_dimensional,C0_MatchedRandom,7,completed_valid,0.026213250748771358,0.08803817202320656,0.9628278211311058,0.31196469907407415,30,0.31196469907407415,0.10260706018518517,6226.386179291849,0.214643856095679
cnae9,generic_sparse_high_dimensional,C1_ValueOnly,42,completed_valid,0.051514842206472004,0.09928942215564476,0.9811170525021023,0.31196469907407415,30,0.31196469907407415,0.06541714891975309,7911.299854867036,0.31077859760802473
cnae9,generic_sparse_high_dimensional,C1_ValueOnly,123,completed_valid,0.015806633691091393,0.05092536936238104,0.9789900700251262,0.31196469907407415,30,0.31196469907407415,0.0656614101080247,7887.231016987935,0.3110645736882717
cnae9,generic_sparse_high_dimensional,C1_ValueOnly,7,completed_valid,0.024127390730207195,0.0732265094233617,0.9797468022063927,0.31196469907407415,30,0.31196469907407415,0.06609206211419753,7893.986001552393,0.3110190007716049
cnae9,generic_sparse_high_dimensional,C2_SupportOnly,42,completed_valid,0.04366742361599473,0.10276589145741458,0.9518454043953507,0.31196469907407415,30,0.31196469907407415,0.31196469907407415,5487.971216133656,0.0
cnae9,generic_sparse_high_dimensional,C2_SupportOnly,123,completed_valid,0.048936966314374254,0.10589577041455278,0.9554108341534933,0.31196469907407415,30,0.31196469907407415,0.31196469907407415,5485.205465325473,0.0
cnae9,generic_sparse_high_dimensional,C2_SupportOnly,7,completed_valid,0.025647583840145132,0.07673811400686303,0.9562830810193662,0.31196469907407415,30,0.31196469907407415,0.31196469907407415,5484.335800960319,0.0
