dataset,seed,config,stage2_baseline,ari_current,ari_stage2,ari_delta,nmi_current,nmi_stage2,nmi_delta,acc_current,acc_stage2,acc_delta,fmi_current,fmi_stage2,fmi_delta,edge_entropy_current,edge_entropy_stage2,edge_entropy_delta,effective_neighbor_count_current,effective_neighbor_count_stage2,effective_neighbor_count_delta,rank_loss_current,rank_loss_stage2,rank_loss_delta
flame,123,edge_only_lam0.3_rm1.0,self_null_lambda01,0.5111724059790677,0.5111724059790677,0.0,0.42301368895254887,0.42301368895254887,0.0,0.8583333333333333,0.8583333333333333,0.0,0.7658690107367746,0.7658690107367746,0.0,1.5860379934310913,1.6054328680038452,-0.019394874572753906,4.886053085327148,4.980034351348877,-0.09398126602172852,0.6833174958825111,0.04564360305666924,0.6376738928258419
flame,7,edge_only_lam0.5_rm0.5,self_null_lambda01,0.4878122860812521,0.5234398520832709,-0.03562756600201883,0.42202818453353413,0.4469057665089211,-0.024877581975386975,0.85,0.8625,-0.012500000000000067,0.7534099602244124,0.7711059509808914,-0.017695990756478985,1.591672420501709,1.60499906539917,-0.013326644897460938,4.912760257720947,4.977879524230957,-0.06511926651000977,0.3160065971314907,0.04482719241641462,0.27117940471507607
flame,42,edge_only_lam0.5_rm0.5,self_null_lambda01,0.4997914953192624,0.51170062704509,-0.011909131725827582,0.4762295097749414,0.48413629790455054,-0.007906788129609155,0.8541666666666666,0.8583333333333333,-0.004166666666666652,0.7585425462553981,0.7643480766667312,-0.005805530411333137,1.5898312330245972,1.6037490367889404,-0.013917803764343262,4.903748989105225,4.971675395965576,-0.06792640686035156,0.3109181642532349,0.04146599099040031,0.26945217326283455
flame,123,edge_only_lam0.5_rm0.5,self_null_lambda01,0.5111724059790677,0.5111724059790677,0.0,0.42301368895254887,0.42301368895254887,0.0,0.8583333333333333,0.8583333333333333,0.0,0.7658690107367746,0.7658690107367746,0.0,1.5925875902175903,1.6054328680038452,-0.012845277786254883,4.917269706726074,4.980034351348877,-0.06276464462280273,0.31385512091219425,0.04564360305666924,0.268211517855525
flame,7,edge_only_lam0.5_rm1.0,self_null_lambda01,0.4878122860812521,0.5234398520832709,-0.03562756600201883,0.42202818453353413,0.4469057665089211,-0.024877581975386975,0.85,0.8625,-0.012500000000000067,0.7534099602244124,0.7711059509808914,-0.017695990756478985,1.5877751111984253,1.60499906539917,-0.01722395420074463,4.894123554229736,4.977879524230957,-0.0837559700012207,0.6873691640794277,0.04482719241641462,0.6425419716630131
flame,42,edge_only_lam0.5_rm1.0,self_null_lambda01,0.4997914953192624,0.51170062704509,-0.011909131725827582,0.4762295097749414,0.48413629790455054,-0.007906788129609155,0.8541666666666666,0.8583333333333333,-0.004166666666666652,0.7585425462553981,0.7643480766667312,-0.005805530411333137,1.586012601852417,1.6037490367889404,-0.017736434936523438,4.88552188873291,4.971675395965576,-0.08615350723266602,0.6821135699748992,0.04146599099040031,0.640647578984499
flame,123,edge_only_lam0.5_rm1.0,self_null_lambda01,0.5111724059790677,0.5111724059790677,0.0,0.42301368895254887,0.42301368895254887,0.0,0.8583333333333333,0.8583333333333333,0.0,0.7658690107367746,0.7658690107367746,0.0,1.58603835105896,1.6054328680038452,-0.019394516944885254,4.886054515838623,4.980034351348877,-0.0939798355102539,0.6833173908293247,0.04564360305666924,0.6376737877726555
flame,7,self_null_lam0.3_rm0.5_si0.3,self_null_lambda01,0.49955115517715365,0.5234398520832709,-0.02388869690611728,0.4301272113590202,0.4469057665089211,-0.016778555149900898,0.8541666666666666,0.8625,-0.008333333333333415,0.7592350984001888,0.7711059509808914,-0.01187085258070264,1.5916768312454224,1.60499906539917,-0.013322234153747559,4.912782669067383,4.977879524230957,-0.06509685516357422,0.31603383608162405,0.04482719241641462,0.2712066436652094
flame,42,self_null_lam0.3_rm0.5_si0.3,self_null_lambda01,0.4997914953192624,0.51170062704509,-0.011909131725827582,0.4762295097749414,0.48413629790455054,-0.007906788129609155,0.8541666666666666,0.8583333333333333,-0.004166666666666652,0.7585425462553981,0.7643480766667312,-0.005805530411333137,1.5898343324661255,1.6037490367889404,-0.013914704322814941,4.9037628173828125,4.971675395965576,-0.06791257858276367,0.31091040596365926,0.04146599099040031,0.26944441497325894
flame,123,self_null_lam0.3_rm0.5_si0.3,self_null_lambda01,0.5111724059790677,0.5111724059790677,0.0,0.42301368895254887,0.42301368895254887,0.0,0.8583333333333333,0.8583333333333333,0.0,0.7658690107367746,0.7658690107367746,0.0,1.5926035642623901,1.6054328680038452,-0.012829303741455078,4.917346000671387,4.980034351348877,-0.06268835067749023,0.31383987367153166,0.04564360305666924,0.2681962706148624
