algorithm,dataset_idx,dataset_name,dataset_type,acc,nmi,ari,time
autosc,90,dilbert.npz,tabular,0.295600,0.117757,0.054709,528.738331
autosc,91,synthetic_control.npz,tabular,0.575000,0.727784,0.610054,3.988347
autosc,92,Drug Consumption.npz,tabular,0.347627,0.006488,0.007422,19.966201
autosc,93,shuttle.npz,tabular,0.530600,0.000475,0.001907,475.279602
autosc,94,tr45.wc.npz,tabular,0.264793,0.110242,0.006757,5.493139
autosc,95,steel-plates-fault.npz,tabular,0.616177,0.025055,-0.028955,26.443001
autosc,96,fbis.wc.npz,tabular,0.340619,0.299971,0.183559,36.552856
autosc,97,mfeat-fourier.npz,tabular,0.476500,0.563172,0.326529,26.858995
autosc,98,vehicle.npz,tabular,0.505910,0.300227,0.215967,5.232926
autosc,99,micro-mass.npz,tabular,0.702778,0.757795,0.563404,2.853321
autosc,100,ISOLET.npz,tabular,0.476337,0.684654,0.405157,316.798354
autosc,101,poker-hand.npz,tabular,0.510100,0.000102,0.000239,470.113616
autosc,102,tamilnadu-electricity.npz,tabular,0.068500,0.005583,-0.000285,703.987937
autosc,103,mnist64.npz,image,0.792052,0.791509,0.741576,9.928089
autosc,104,MNIST_CLIP.npz,image,0.801521,0.799715,0.732187,491.187788
autosc,105,fashion_mnist.npz,image,0.584667,0.627288,0.466079,67.110741
autosc,106,FashionMNIST_CLIP.npz,image,0.648300,0.681183,0.549882,490.073425
autosc,107,cifar10.npz,image,0.237846,0.103033,0.053909,90.251938
autosc,108,CIFAR10_CLIP.npz,image,0.834700,0.724286,0.658590,428.845086
autosc,109,coil20.npz,image,0.747222,0.864307,0.719418,21.365778
autosc,110,COIL20_CLIP.npz,image,0.915972,0.963731,0.909254,20.665325
autosc,111,labeled_faces_in_the_wild.npz,image,0.535455,0.003631,0.004576,30.844434
autosc,112,flickr_material_database.npz,image,0.611836,0.504624,0.378198,9.421786
autosc,113,street_view_house_numbers.npz,image,0.159836,0.041647,0.006693,6.922545
autosc,114,har.npz,image,0.514286,0.572074,0.404800,4.950847
autosc,115,Indian_pines.npz,image,0.382253,0.339332,0.192427,322.712729
autosc,116,satellite_image.npz,image,0.667754,0.614800,0.555819,176.195562
autosc,117,olivetti_faces.npz,image,0.795000,0.885768,0.709437,9.733551
autosc,118,PCam.npz,image,0.384259,0.252131,0.118421,12.766883
autosc,119,cnae9.npz,text,0.500615,0.000616,0.000001,61.208511
autosc,120,imdb.npz,text,0.729277,0.046146,0.037415,98.461668
autosc,121,hate_speech.npz,text,0.525837,0.003607,0.002478,58.426471
autosc,122,sentiment_labeld_sentences.npz,text,0.820359,0.009272,-0.048627,6.062380
autosc,123,sms_spam_collection.npz,text,0.572872,0.430203,0.333255,614.957566
autosc,124,wos.npz,text,0.509551,0.012118,0.000335,622.722009
autosc,125,enron.npz,text,0.432634,0.001417,0.000046,383.468051
autosc,126,reuters.npz,text,0.333800,0.343618,0.180007,1446.631819
autosc,127,20newsgroups.npz,text,0.980484,0.861183,0.928829,664.355081
autosc,128,Mouse_retina.npz,bioinfo,0.394076,0.442253,0.197919,1401.179100
autosc,129,Campbell.npz,bioinfo,0.522500,0.001436,0.001776,150.481393
autosc,130,Baron Human.npz,bioinfo,0.594131,0.668803,0.528122,1008.241075
birch,0,echocardiogram.npz,tabular,0.918033,0.639762,0.690470,0.093256
birch,1,skillcraft1_master_table_dataset.npz,tabular,0.323645,0.127803,0.097680,0.754699
birch,2,breast_cancer_wisconsin_original.npz,tabular,0.967789,0.783852,0.874210,0.053814
birch,3,smoker_condition.npz,tabular,0.993083,0.938814,0.972446,0.091361
birch,4,glass_identification.npz,tabular,0.542056,0.458299,0.282162,0.015462
birch,5,statlog_image_segmentation.npz,tabular,0.552381,0.623354,0.473182,0.246581
birch,6,planning_relax.npz,tabular,0.576923,0.000523,0.002245,0.019331
birch,7,customer_classification.npz,tabular,0.333000,0.024297,0.017961,0.106349
birch,8,pima_indians_diabetes_database.npz,tabular,0.675781,0.090202,0.122041,0.100116
birch,9,mobile_price_classification.npz,tabular,0.299500,0.007810,0.006218,0.479815
birch,10,spambase.npz,tabular,0.599000,0.009831,-0.004671,1.371466
birch,11,rice_seed_gonen_jasmine.npz,tabular,0.967297,0.795079,0.873446,0.695592
birch,12,heart_attack_analysis_prediction_dataset.npz,tabular,0.788779,0.281775,0.330987,0.020754
birch,13,user_knowledge_modeling.npz,tabular,0.562016,0.313562,0.283173,0.008842
birch,14,world12d.npz,tabular,0.886667,0.808849,0.814342,0.005609
birch,15,pumpkin_seeds.npz,tabular,0.847200,0.388294,0.481984,0.252288
birch,16,iris.npz,tabular,0.860000,0.737693,0.671904,0.006479
birch,17,wine.npz,tabular,0.938202,0.808012,0.818523,0.009388
birch,18,letter_recognition.npz,tabular,0.318955,0.442010,0.187524,3.900966
birch,19,mammographic_mass.npz,tabular,0.515663,0.002482,0.000144,0.035669
birch,20,breast_tissue.npz,tabular,0.452830,0.536259,0.284219,0.006074
birch,21,hepatitis.npz,tabular,0.800000,0.229218,0.311832,0.008713
birch,22,predicting_pulsar_star.npz,tabular,0.972932,0.642281,0.796832,0.378452
birch,23,breast_cancer_wisconsin_prognostic.npz,tabular,0.922671,0.628742,0.713766,0.059292
birch,24,wireless_indoor_localization.npz,tabular,0.947000,0.865702,0.867498,0.161069
birch,25,date_fruit.npz,tabular,0.776169,0.750792,0.742191,0.116663
birch,26,zoo.npz,tabular,0.871287,0.856691,0.924848,0.007239
birch,27,htru2.npz,tabular,0.968597,0.600395,0.777767,0.389132
birch,28,ionosphere.npz,tabular,0.729345,0.150998,0.207309,0.029510
birch,29,music_genre_classification.npz,tabular,0.370000,0.343082,0.194654,0.168417
birch,30,spectf_heart.npz,tabular,0.525000,0.043575,0.001267,0.007473
birch,31,rice_dataset_cammeo_and_osmancik.npz,tabular,0.897113,0.520387,0.630359,0.205432
birch,32,ph_recognition.npz,tabular,0.442573,0.604348,0.371403,0.013824
birch,33,banknote_authentication.npz,tabular,0.685860,0.213082,0.132117,0.051185
birch,34,wine_quality.npz,tabular,0.389083,0.069263,0.057192,0.598402
birch,35,cardiovascular_study.npz,tabular,0.676802,0.029246,0.075519,0.279117
birch,36,statlog_german_credit.npz,tabular,0.614000,0.006181,0.028364,0.113655
birch,37,boston.npz,tabular,0.811688,0.699786,0.637242,0.017510
birch,38,seismic_bumps.npz,tabular,0.931889,0.000833,-0.002822,0.064440
birch,39,dry_bean.npz,tabular,0.778033,0.708523,0.639182,1.702378
birch,40,credit_risk_classification.npz,tabular,0.760246,0.000306,-0.009046,0.116595
birch,41,epileptic_seizure_recognition.npz,tabular,0.238087,0.176954,0.029837,4.140620
birch,42,website_phishing.npz,tabular,0.611234,0.111270,0.148798,0.090463
birch,43,optical_recognition_of_handwritten_digits.npz,tabular,0.654460,0.716799,0.554285,1.303630
birch,44,siberian_weather_stats.npz,tabular,0.342573,0.088155,0.021091,0.178169
birch,45,orbit_classification_for_prediction_nasa.npz,tabular,0.674216,0.107439,0.107778,0.229024
birch,46,magic_gamma_telescope.npz,tabular,0.706471,0.131394,0.110543,0.605424
birch,47,raisin.npz,tabular,0.844444,0.376819,0.473983,0.040919
birch,48,patient_treatment_classification.npz,tabular,0.663645,0.060449,0.096333,1.347263
birch,49,fetal_health_classification.npz,tabular,0.701317,0.234193,0.266426,0.256270
birch,50,dermatology.npz,tabular,0.748603,0.868539,0.710945,0.048343
birch,51,secom.npz,tabular,0.932355,0.003274,0.012671,0.924195
birch,52,paris_housing_classification.npz,tabular,0.568500,0.008582,0.013395,4.823771
birch,53,seeds.npz,tabular,0.909524,0.749814,0.757719,0.026047
birch,54,wine_customer.npz,tabular,0.938202,0.808012,0.818523,0.015781
birch,55,crowdsourced_mapping.npz,tabular,0.400520,0.352974,0.198440,3.833720
birch,56,durum_wheat_features.npz,tabular,0.484667,0.514468,0.346517,8.092546
birch,57,classification_in_asteroseismology.npz,tabular,0.852148,0.374069,0.447512,0.020554
birch,58,birds_bones_and_living_habits.npz,tabular,0.467312,0.254373,0.208132,0.025733
birch,59,microbes.npz,tabular,0.212806,0.078183,0.033353,1.187776
birch,60,image_segmentation.npz,tabular,0.557143,0.608190,0.401267,0.025517
