dataset,variant,seed,n_samples,n_features,n_clusters,k_protocol,labels_used_during_fit,source_sha256,head_ari,kmeans_ari,nmi,silhouette,final_gate,final_target_gate,mean_gate,mean_target_gate,mean_graph_loss,final_graph_loss,mean_tda_prior,final_tda_prior,h0_merge_count,tda_scale,tda_nonzero_fraction,graph_edge_change_fraction,train_seconds,summary_path
flame,V11_tda_fixed_filtration,42,240,2,2,benchmark_oracle_from_y,False,045e1826ad81f23942c2c37f8855b7b56d1351d11376eba61a5211f2dbe3ab52,0.3184717833855562,0.37786847329508017,0.2806399882657479,0.3785136640071869,0.05413573607802391,0.004886539187282324,0.12118908762931824,0.0036439524294110013,0.12891501132398844,0.051036540418863297,0.21546121761202813,0.284265398979187,239.0,0.04206604830105873,0.6390862944162436,0.02375,6.815502166748047,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/flame__V11_tda_fixed_filtration__seed42/summary.json
flame,V11_tda_fixed_filtration,123,240,2,2,benchmark_oracle_from_y,False,045e1826ad81f23942c2c37f8855b7b56d1351d11376eba61a5211f2dbe3ab52,0.3881487946511562,0.3881487946511562,0.3903786647950032,0.374339759349823,0.05703581124544144,0.005088123958557844,0.13604268659837543,0.004000998643459752,0.14678276246413588,0.052814748138189316,0.21255988217890262,0.28113749623298645,239.0,0.04206604830105873,0.6312877263581489,0.014583333333333334,6.8009254932403564,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/flame__V11_tda_fixed_filtration__seed123/summary.json
flame,V11_tda_random,7,240,2,2,benchmark_oracle_from_y,False,045e1826ad81f23942c2c37f8855b7b56d1351d11376eba61a5211f2dbe3ab52,0.4763356608807909,0.49976146542666416,0.43430471955212946,0.4683700501918793,0.02876904420554638,0.00547832390293479,0.08341174935922027,0.0044958502927329395,0.08259026978630572,0.02468186989426613,0.37076018154621126,0.4964245855808258,nan,nan,1.0,0.0375,6.820000410079956,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/flame__V11_tda_random__seed7/summary.json
flame,V11_tda_random,42,240,2,2,benchmark_oracle_from_y,False,045e1826ad81f23942c2c37f8855b7b56d1351d11376eba61a5211f2dbe3ab52,0.3184717833855562,0.37786847329508017,0.2806399882657479,0.37834158539772034,0.05547283962368965,0.004800777416676283,0.12415364403277636,0.0036161423922749236,0.13260471355170012,0.05217553675174713,0.37245745994150636,0.49778059124946594,nan,nan,1.0,0.024583333333333332,6.828174352645874,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/flame__V11_tda_random__seed42/summary.json
flame,V11_tda_random,123,240,2,2,benchmark_oracle_from_y,False,045e1826ad81f23942c2c37f8855b7b56d1351d11376eba61a5211f2dbe3ab52,0.3881487946511562,0.3881487946511562,0.3903786647950032,0.3743886351585388,0.05542352423071861,0.005055098328739405,0.13596379957161844,0.003976613300619647,0.14629187979735434,0.05065302178263664,0.3788699313998222,0.5045285820960999,nan,nan,1.0,0.014583333333333334,6.909515619277954,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/flame__V11_tda_random__seed123/summary.json
spect_heart,V11_full,7,267,22,2,benchmark_oracle_from_y,False,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,0.11274392257664309,0.16662789554360702,0.12502606771359995,0.3459461033344269,0.013293116353452206,0.007484822999686003,0.06628225896274671,0.004790606961796584,0.06844964080955833,0.01805414818227291,0.0,0.0,nan,nan,0.0,0.09063670411985018,8.983992099761963,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/spect_heart__V11_full__seed7/summary.json
spect_heart,V11_full,42,267,22,2,benchmark_oracle_from_y,False,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,0.1856229680842075,0.2546444813678192,0.14742789443294196,0.33482465147972107,0.009487501345574856,0.004300044733099639,0.044397036646842025,0.005316570352329108,0.044338300422532485,0.01023967913351953,0.0,0.0,nan,nan,0.0,0.12397003745318352,9.085400342941284,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/spect_heart__V11_full__seed42/summary.json
spect_heart,V11_full,123,267,22,2,benchmark_oracle_from_y,False,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,0.11274392257664309,0.15164574537912234,0.12502606771359992,0.3544023931026459,0.010442544240504503,0.005840759025886655,0.0487513700092677,0.004544377762249497,0.050309410272166136,0.017298823688179255,0.0,0.0,nan,nan,0.0,0.11610486891385768,9.07957148551941,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/spect_heart__V11_full__seed123/summary.json
spect_heart,V11_nomix,7,267,22,2,benchmark_oracle_from_y,False,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,0.12761585540680534,0.15164574537912234,0.13272805051318118,0.3460952341556549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,2.0130178928375244,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/spect_heart__V11_nomix__seed7/summary.json
spect_heart,V11_nomix,42,267,22,2,benchmark_oracle_from_y,False,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,0.22094670589996054,0.2910527153594559,0.1590560213056888,0.3484784960746765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,2.0020477771759033,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/spect_heart__V11_nomix__seed42/summary.json
