scope,left,right,metric,n,mean_delta,median_delta,std_delta,wins,ties,losses,wilcoxon_p,paired_t_p
vehicle,V11_tda_fixed_filtration,V11_full,final_gate,3,-4.209182225167751e-05,-5.267304368317127e-05,0.00012426593401912762,1,0,2,0.75,0.6168147234605464
vehicle,V11_tda_fixed_filtration,V11_full,mean_gate,3,9.000686307748171e-05,0.00033945903123822063,0.0007074414677316856,2,0,1,1.0,0.8460352701647096
vehicle,V11_tda_fixed_filtration,V11_full,mean_graph_loss,3,0.0015356537153517532,0.0017912851777509807,0.0007234385325407424,3,0,0,0.25,0.06666438131209287
ALL,V11_tda_random,V11_full,head_ari,15,1.829274865182776e-05,0.0,7.084751088488711e-05,1,14,0,0.31731050786291415,0.3342819433946577
ALL,V11_tda_random,V11_full,kmeans_ari,15,-0.00027417036291499386,0.0,0.0010308476372635142,2,10,3,0.5001842570707944,0.32043999883043917
ALL,V11_tda_random,V11_full,nmi,15,1.4903590511199048e-05,0.0,5.7721357848568776e-05,1,14,0,0.31731050786291415,0.33428194339465733
ALL,V11_tda_random,V11_full,silhouette,15,7.208089033762614e-05,4.3272972106933594e-05,0.00022078891610340424,9,0,6,0.30279541015625,0.2267274822868733
ALL,V11_tda_random,V11_full,final_gate,15,0.0011389132485621505,0.0003146316545704999,0.001721937488440286,12,0,3,0.00152587890625,0.022600954995435577
ALL,V11_tda_random,V11_full,mean_gate,15,0.0019046485827614872,0.001387126371264459,0.0026982228161914644,12,0,3,0.02154541015625,0.01614724116245377
ALL,V11_tda_random,V11_full,mean_graph_loss,15,0.004855684857821971,0.005548262409865862,0.002763923489032366,14,0,1,0.0001220703125,8.540828817622599e-06
balance_scale,V11_tda_random,V11_full,head_ari,3,0.0,0.0,0.0,0,3,0,1.0,nan
balance_scale,V11_tda_random,V11_full,kmeans_ari,3,-0.0012794964434896712,0.0,0.0022161528482277917,0,2,1,1.0,0.4226497308103743
balance_scale,V11_tda_random,V11_full,nmi,3,0.0,0.0,0.0,0,3,0,1.0,nan
balance_scale,V11_tda_random,V11_full,silhouette,3,-6.07222318649292e-05,-3.2275915145874023e-05,0.00020169975382187236,1,0,2,0.75,0.6540537932542091
balance_scale,V11_tda_random,V11_full,final_gate,3,0.0002623215162505706,0.00024840321081380035,4.692548683503334e-05,3,0,0,0.25,0.010498972977470968
balance_scale,V11_tda_random,V11_full,mean_gate,3,0.002856062639491737,0.002460340345472406,0.0017561646747260642,3,0,0,0.25,0.10630887142600316
balance_scale,V11_tda_random,V11_full,mean_graph_loss,3,0.004080821715372924,0.003554222023619028,0.0018567908567859244,3,0,0,0.25,0.06259944312023276
spect_heart,V11_tda_random,V11_full,head_ari,3,0.0,0.0,0.0,0,3,0,1.0,nan
spect_heart,V11_tda_random,V11_full,kmeans_ari,3,0.0,0.0,0.0,0,3,0,1.0,nan
